entry_id,title,source_file,source_type,candidate_png,candidate_webp,candidate_status
G-22,SKILL.md,assets\ponchi\experiments\batches\ponchi-batch-013\G-22_base_1254x627.png,review_pending_base,G-22_candidate.png,G-22_candidate.webp,review_pending
G-23,.claude/settings.json,assets\ponchi\experiments\batches\ponchi-batch-013\G-23_base_1254x627.png,review_pending_base,G-23_candidate.png,G-23_candidate.webp,review_pending
G-30,Tool Use,assets\ponchi\experiments\batches\ponchi-batch-013\G-30_base_1254x627.png,review_pending_base,G-30_candidate.png,G-30_candidate.webp,review_pending
G-31,Hook,assets\ponchi\experiments\batches\ponchi-batch-013\G-31_base_1254x627.png,review_pending_base,G-31_candidate.png,G-31_candidate.webp,review_pending
G-32,Slash Command,assets\ponchi\experiments\batches\ponchi-batch-013\G-32_base_1254x627.png,review_pending_base,G-32_candidate.png,G-32_candidate.webp,review_pending
G-33,Function Calling,assets\ponchi\experiments\batches\ponchi-batch-013\G-33_base_1254x627.png,review_pending_base,G-33_candidate.png,G-33_candidate.webp,review_pending
G-34,Code Interpreter,assets\ponchi\experiments\batches\ponchi-batch-013\G-34_base_1254x627.png,review_pending_base,G-34_candidate.png,G-34_candidate.webp,review_pending
G-35,Deep Research,assets\ponchi\experiments\batches\ponchi-batch-013\G-35_base_1254x627.png,review_pending_base,G-35_candidate.png,G-35_candidate.webp,review_pending
G-36,Artifact,assets\ponchi\experiments\batches\ponchi-batch-013\G-36_base_1254x627.png,review_pending_base,G-36_candidate.png,G-36_candidate.webp,review_pending
G-38,Plan Mode,assets\ponchi\experiments\batches\ponchi-batch-013\G-38_base_1254x627.png,review_pending_base,G-38_candidate.png,G-38_candidate.webp,review_pending
G-39,Permission,assets\ponchi\experiments\batches\ponchi-batch-013\G-39_base_1254x627.png,review_pending_base,G-39_candidate.png,G-39_candidate.webp,review_pending
G-40,バイブコーディング,assets\ponchi\experiments\batches\ponchi-batch-013\G-40_base_1254x627.png,review_pending_base,G-40_candidate.png,G-40_candidate.webp,review_pending
G-41,Subagent,assets\ponchi\experiments\batches\ponchi-batch-013\G-41_base_1254x627.png,review_pending_base,G-41_candidate.png,G-41_candidate.webp,review_pending
G-42,Worktree,assets\ponchi\experiments\batches\ponchi-batch-013\G-42_base_1254x627.png,review_pending_base,G-42_candidate.png,G-42_candidate.webp,review_pending
G-43,オーケストレーション,assets\ponchi\experiments\batches\ponchi-batch-013\G-43_base_1254x627.png,review_pending_base,G-43_candidate.png,G-43_candidate.webp,review_pending
G-44,マルチエージェント協調,assets\ponchi\experiments\batches\ponchi-batch-013\G-44_base_1254x627.png,review_pending_base,G-44_candidate.png,G-44_candidate.webp,review_pending
G-45,段階的開示,assets\ponchi\experiments\batches\ponchi-batch-013\G-45_base_1254x627.png,review_pending_base,G-45_candidate.png,G-45_candidate.webp,review_pending
G-46,ナーフ（モデルの劣化体感）,assets\ponchi\experiments\batches\ponchi-batch-013\G-46_base_1254x627.png,review_pending_base,G-46_candidate.png,G-46_candidate.webp,review_pending
G-47,Auto-compact,assets\ponchi\experiments\batches\ponchi-batch-013\G-47_base_1254x627.png,review_pending_base,G-47_candidate.png,G-47_candidate.webp,review_pending
H-1,TDD,assets\ponchi\experiments\batches\ponchi-batch-013\H-1_base_1254x627.png,review_pending_base,H-1_candidate.png,H-1_candidate.webp,review_pending
