entry_id,title,batch_id,candidate_png,candidate_webp,final_png,final_webp,candidate_status,audit_status,production_update,candidate_png_bytes,candidate_webp_bytes,current_final_webp_bytes
J-90,GUI,semantic-regen-024,assets/ponchi/final_candidates/semantic-regen-024/J-90_candidate.png,assets/ponchi/final_candidates/semantic-regen-024/J-90_candidate.webp,assets/ponchi/final/J-90.png,assets/ponchi/final/J-90.webp,review_pending,image_pass_color_pass_quality_high_compare_ok,not_promoted,625081,78134,78896
J-92,Linux,semantic-regen-024,assets/ponchi/final_candidates/semantic-regen-024/J-92_candidate.png,assets/ponchi/final_candidates/semantic-regen-024/J-92_candidate.webp,assets/ponchi/final/J-92.png,assets/ponchi/final/J-92.webp,review_pending,image_pass_color_pass_quality_high_compare_ok_palette_normalized,not_promoted,139778,144742,65370
J-93,Ubuntu,semantic-regen-024,assets/ponchi/final_candidates/semantic-regen-024/J-93_candidate.png,assets/ponchi/final_candidates/semantic-regen-024/J-93_candidate.webp,assets/ponchi/final/J-93.png,assets/ponchi/final/J-93.webp,review_pending,image_pass_color_pass_quality_high_compare_ok_rerendered,not_promoted,607223,69256,81134
