file,entry_id,size,size_ok,bbox_coverage,density_ok,clearspace_required,clearspace_ink_ratio,clearspace_ok,status
assets\ponchi\experiments\batches\semantic-regen-003\B-1_overlay_1254x627.png,B-1,1254x627,true,0.816,true,true,0.1074,false,review
assets\ponchi\experiments\batches\semantic-regen-003\B-2_overlay_1254x627.png,B-2,1254x627,true,0.795,true,true,0.1771,false,review
assets\ponchi\experiments\batches\semantic-regen-003\B-3_overlay_1254x627.png,B-3,1254x627,true,0.837,true,true,0.2954,false,review
assets\ponchi\experiments\batches\semantic-regen-003\B-10_overlay_1254x627.png,B-10,1254x627,true,0.729,true,true,0.0044,true,pass
assets\ponchi\experiments\batches\semantic-regen-003\B-14_overlay_1254x627.png,B-14,1254x627,true,0.680,true,true,0.1474,false,review
