entry_id,title,source_file,source_type,candidate_png,candidate_webp,candidate_status
B-10,Devin,assets\ponchi\experiments\batches\ponchi-batch-002\B-10_overlay_1254x627.png,review_pending_overlay,B-10_candidate.png,B-10_candidate.webp,review_pending
B-11,Bolt.new,assets\ponchi\experiments\batches\ponchi-batch-002\B-11_overlay_1254x627.png,accepted_overlay,B-11_candidate.png,B-11_candidate.webp,accepted
B-12,Perplexity,assets\ponchi\experiments\batches\ponchi-batch-002\B-12_overlay_1254x627.png,accepted_overlay,B-12_candidate.png,B-12_candidate.webp,accepted
B-13,ElevenLabs,assets\ponchi\experiments\batches\ponchi-batch-002\B-13_overlay_1254x627.png,accepted_overlay,B-13_candidate.png,B-13_candidate.webp,accepted
B-14,Genspark,assets\ponchi\experiments\batches\ponchi-batch-002\B-14_overlay_1254x627.png,review_pending_overlay,B-14_candidate.png,B-14_candidate.webp,review_pending
B-15,Microsoft Copilot,assets\ponchi\experiments\batches\ponchi-batch-002\B-15_overlay_1254x627.png,review_pending_overlay,B-15_candidate.png,B-15_candidate.webp,review_pending
B-16,Microsoft 365 Copilot,assets\ponchi\experiments\batches\ponchi-batch-002\B-16_overlay_1254x627.png,review_pending_overlay,B-16_candidate.png,B-16_candidate.webp,review_pending
B-17,Edge Copilot,assets\ponchi\experiments\batches\ponchi-batch-002\B-17_overlay_1254x627.png,review_pending_overlay,B-17_candidate.png,B-17_candidate.webp,review_pending
B-18,Aqua Voice,assets\ponchi\experiments\batches\ponchi-batch-002\B-18_overlay_1254x627.png,review_pending_overlay,B-18_candidate.png,B-18_candidate.webp,review_pending
B-19,Claude Cowork,assets\ponchi\experiments\batches\ponchi-batch-002\B-19_base_1254x627.png,review_pending_base,B-19_candidate.png,B-19_candidate.webp,review_pending
B-20,Vercel,assets\ponchi\experiments\batches\ponchi-batch-002\B-20_overlay_1254x627.png,accepted_overlay,B-20_candidate.png,B-20_candidate.webp,accepted
B-21,Netlify,assets\ponchi\experiments\batches\ponchi-batch-002\B-21_overlay_1254x627.png,accepted_overlay,B-21_candidate.png,B-21_candidate.webp,accepted
B-22,Cloudflare,assets\ponchi\experiments\batches\ponchi-batch-002\B-22_overlay_1254x627.png,accepted_overlay,B-22_candidate.png,B-22_candidate.webp,accepted
B-23,AWS,assets\ponchi\experiments\batches\ponchi-batch-002\B-23_base_1254x627.png,review_pending_base,B-23_candidate.png,B-23_candidate.webp,review_pending
B-24,Google Cloud,assets\ponchi\experiments\batches\ponchi-batch-002\B-24_overlay_1254x627.png,review_pending_overlay,B-24_candidate.png,B-24_candidate.webp,review_pending
B-25,Azure,assets\ponchi\experiments\batches\ponchi-batch-002\B-25_overlay_1254x627.png,review_pending_overlay,B-25_candidate.png,B-25_candidate.webp,review_pending
B-26,Azure OpenAI,assets\ponchi\experiments\batches\ponchi-batch-002\B-26_overlay_1254x627.png,review_pending_overlay,B-26_candidate.png,B-26_candidate.webp,review_pending
B-27,Vertex AI,assets\ponchi\experiments\batches\ponchi-batch-002\B-27_overlay_1254x627.png,review_pending_overlay,B-27_candidate.png,B-27_candidate.webp,review_pending
B-28,Render,assets\ponchi\experiments\batches\ponchi-batch-002\B-28_overlay_1254x627.png,accepted_overlay,B-28_candidate.png,B-28_candidate.webp,accepted
B-29,Supabase,assets\ponchi\experiments\batches\ponchi-batch-002\B-29_overlay_1254x627.png,accepted_overlay,B-29_candidate.png,B-29_candidate.webp,accepted
